,CodeName,Name,Description
193,EVERSTONE,Everstone,An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.
194,DRAGONSCALE,Dragon Scale,A thick and tough scale. Dragon-type Pokémon may be holding this item when caught.
195,UPGRADE,Up-Grade,A transparent device filled with all sorts of data. It was produced by Silph Co.
196,DUBIOUSDISC,Dubious Disc,A transparent device overflowing with dubious data.  Its producer is unknown.
197,PROTECTOR,Protector,A protective item of some sort. It is extremely stiff and heavy. It is loved by a certain Pokémon.
198,ELECTIRIZER,Electirizer,A box packed with a tremendous amount of electric energy. It is loved by a certain Pokémon.
199,MAGMARIZER,Magmarizer,A box packed with a tremendous amount of magma energy. It is loved by a certain Pokémon.
200,REAPERCLOTH,Reaper Cloth,A cloth imbued with horrifyingly strong spiritual energy. It is loved by a certain Pokémon.
201,PRISMSCALE,Prism Scale,A mysterious scale that evolves certain Pokémon. It shines in rainbow colors.
202,OVALSTONE,Oval Stone,A peculiar stone that makes certain species of Pokémon evolve. It is shaped like an egg.
203,REDSCARF,Old Scarf,An old scarf. It looks like it's been here for ages.
204,BLUESCARF,Blue Scarf,An item to be held by a Pokémon. It boosts the Beauty aspect of the holder in a Contest.
205,PINKSCARF,Pink Scarf,An item to be held by a Pokémon. It boosts the Cute aspect of the holder in a Contest.
206,GREENSCARF,Green Scarf,An item to be held by a Pokémon. It boosts the Smart aspect of the holder in a Contest.
207,YELLOWSCARF,Yellow Scarf,An item to be held by a Pokémon. It boosts the Tough aspect of the holder in a Contest.
208,POTION,Potion,A spray-type medicine for wounds. It restores the HP of one Pokémon by just 20 points.
209,SUPERPOTION,Super Potion,A spray-type medicine for wounds. It restores the HP of one Pokémon by 60 points.
210,HYPERPOTION,Hyper Potion,A spray-type medicine for wounds. It restores the HP of one Pokémon by 120 points.
211,MAXPOTION,Max Potion,A spray-type medicine for wounds. It completely restores the HP of a single Pokémon.
212,FULLRESTORE,Full Restore,A medicine that fully restores the HP and heals any status problems of a single Pokémon.
213,SACREDASH,Sacred Ash,"It revives all fainted Pokémon. In doing so, it also fully restores their HP."
214,AWAKENING,Awakening,A spray-type medicine. It awakens a Pokémon from the clutches of sleep.
215,ANTIDOTE,Antidote,A spray-type medicine. It lifts the effect of poison from one Pokémon.
216,BURNHEAL,Burn Heal,A spray-type medicine. It heals a single Pokémon that is suffering from a burn.
217,PARLYZHEAL,Paralyze Heal,A spray-type medicine. It eliminates paralysis from a single Pokémon.
218,ICEHEAL,Ice Heal,A spray-type medicine. It defrosts a Pokémon that has been frozen solid.
219,FULLHEAL,Full Heal,A spray-type medicine. It heals all the status problems of a single Pokémon.
220,LAVACOOKIE,Lava Cookie,Lavaridge Town's local specialty. It heals all the status problems of one Pokémon.
221,OLDGATEAU,Old Gateau,Old Chateau's hidden specialty. It heals all the status problems of a single Pokémon.
222,CASTELIACONE,Casteliacone,"Castelia City's specialty, soft-serve ice cream. It heals all the status problems of a single Pokémon."
223,REVIVE,Revive,A medicine that revives a fainted Pokémon. It restores half the Pokémon's maximum HP.
224,MAXREVIVE,Max Revive,A medicine that revives a fainted Pokémon. It fully restores the Pokémon's HP.
225,BERRYJUICE,Berry Juice,A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points.
226,RAGECANDYBAR,RageCandyBar,A famous Mahogany Town candy tourists like to buy and take home. It restores the HP of one Pokémon by 20 points.
227,SWEETHEART,Sweet Heart,Very sweet chocolate. It restores the HP of one Pokémon by only 20 points.
228,FRESHWATER,Fresh Water,Water with a high mineral content. It restores the HP of one Pokémon by 30 points.
229,SODAPOP,Soda Pop,A fizzy soda drink. It restores the HP of one Pokémon by 50 points.
230,LEMONADE,Lemonade,A very sweet drink. It restores the HP of one Pokémon by 70 points.
231,MOOMOOMILK,Moomoo Milk,Milk with a very high nutrition content. It restores the HP of one Pokémon by 100 points.
232,ENERGYPOWDER,EnergyPowder,A very bitter medicine powder. It restores the HP of one Pokémon by 50 points.
233,ENERGYROOT,Energy Root,A very bitter root. It restores the HP of one Pokémon by 120 points.
234,HEALPOWDER,Heal Powder,A very bitter medicine powder. It heals all the status problems of a single Pokémon.
235,REVIVALHERB,Revival Herb,"A very bitter medicinal herb. It revives a fainted Pokémon, fully restoring its HP."
236,ETHER,Ether,It restores the PP of a Pokémon's selected move by a maximum of 10 points.
237,MAXETHER,Max Ether,It fully restores the PP of a single selected move that has been learned by the target Pokémon.
238,ELIXIR,Elixir,It restores the PP of all the moves learned by the targeted Pokémon by 10 points each.
239,MAXELIXIR,Max Elixir,It fully restores the PP of all the moves learned by the targeted Pokémon.
240,PPUP,PP Up,It slightly raises the maximum PP of a selected move that has been learned by the target Pokémon.
241,PPMAX,PP Max,It maximally raises the top PP of a selected move that has been learned by the target Pokémon.
242,HPUP,HP Up,A nutritious drink for Pokémon. It raises the base HP of a single Pokémon.
243,PROTEIN,Protein,A nutritious drink for Pokémon. It raises the base Attack stat of a single Pokémon.
244,IRON,Iron,A nutritious drink for Pokémon. It raises the base Defense stat of a single Pokémon.
245,CALCIUM,Calcium,A nutritious drink for Pokémon. It raises the base Sp. Atk (Special Attack) stat of a single Pokémon.
246,ZINC,Zinc,A nutritious drink for Pokémon. It raises the base Sp. Def (Special Defense) stat of a single Pokémon.
247,CARBOS,Carbos,A nutritious drink for Pokémon. It raises the base Speed stat of a single Pokémon.
248,HEALTHWING,Health Wing,An item for use on a Pokémon. It slightly increases the base HP of a single Pokémon.
249,MUSCLEWING,Muscle Wing,An item for use on a Pokémon. It slightly increases the base Attack stat of a single Pokémon.
250,RESISTWING,Resist Wing,An item for use on a Pokémon. It slightly increases the base Defense stat of a single Pokémon.
251,GENIUSWING,Genius Wing,An item for use on a Pokémon. It slightly increases the base Sp. Atk stat of a single Pokémon.
252,CLEVERWING,Clever Wing,An item for use on a Pokémon. It slightly increases the base Sp. Def stat of a single Pokémon.
253,SWIFTWING,Swift Wing,An item for use on a Pokémon. It slightly increases the base Speed stat of a single Pokémon.
254,RARECANDY,Rare Candy,A candy that is packed with energy. It raises the level of a single Pokémon by one.
255,MASTERBALL,Master Ball,The best Ball with the ultimate level of performance. It will catch any wild Pokémon without fail.
256,ULTRABALL,Ultra Ball,An ultra-performance Ball that provides a higher Pokémon catch rate than a Great Ball.
257,GREATBALL,Great Ball,"A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball."
258,POKEBALL,Poké Ball,A device for catching wild Pokémon. It is thrown like a ball at the target. It is designed as a capsule system.
259,SAFARIBALL,Safari Ball,A special Poké Ball that is used only in the Great Marsh. It is decorated in a camouflage pattern.
260,SPORTBALL,Sport Ball,A special Poké Ball for the Bug-Catching Contest.
261,NETBALL,Net Ball,A somewhat different Poké Ball that works especially well on Water- and Bug-type Pokémon.
262,DIVEBALL,Dive Ball,A somewhat different Poké Ball that works especially well on Pokémon that live underwater.
263,NESTBALL,Nest Ball,A somewhat different Poké Ball that works especially well on weaker Pokémon in the wild.
264,REPEATBALL,Repeat Ball,A somewhat different Poké Ball that works especially well on Pokémon species that were previously caught.
265,TIMERBALL,Timer Ball,A somewhat different Ball that becomes progressively better the more turns there are in a battle.
